formula,activity,syngony,length,length_unit,width,width_unit,depth,depth_unit,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_min_unit,c_max,c_max_unit,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year,visual
MnFe2O4,peroxidase,cubic,2.7,nm,2.7,nm,2.7,nm,dopamine,0.34,10−3 mM,11.92,10−8 M·s−1,text,H2O2 + TMB,0,mM,0.0001,mM,3.65,mM,20,μg mL-1,4.6,25,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,1
CoFe2O4,peroxidase,cubic,2.2,nm,2.2,nm,2.2,nm,dopamine,5.21,10−3 mM,23.9,10−8 M·s−1,text,H2O2 + TMB,0,mM,0.0001,mM,3.65,mM,20,μg mL-1,4.6,25,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,1
MnO2,oxidase,,,,,,,,,0.005,,0.155,,text,"2,6-DMP",0.005,mM,0.2,mM,,,0.1,mg mL−1,3.8,25,10.1155/2019/5416963,5416963,1,Oxidase-Like Catalytic Performance of Nano-MnO<sub>2</sub> and Its Potential Application for Metal Ions Detection in Water,International Journal of Analytical Chemistry,2019,0
ZnFe2O4,peroxidase,,200,nm,200,nm,200,nm,,0.85,mM,13.31,10−8 M·s−1,text,TMB + H2O2,,,,,0.2,mM,40,μg mL-1,4.5,40,10.1021/ac300939z,AC300939Z,0,Colorimetric Detection of Urine Glucose Based ZnFe<sub>2</sub>O<sub>4</sub> Magnetic Nanoparticles,Analytical Chemistry,2012,0
ZnFe2O4,peroxidase,,200,nm,200,nm,200,nm,,1.66,mM,7.74,10−8 M·s−1,text,H2O2 + TMB,,,,,320,μM,40,μg mL-1,4.5,40,10.1021/ac300939z,AC300939Z,0,Colorimetric Detection of Urine Glucose Based ZnFe<sub>2</sub>O<sub>4</sub> Magnetic Nanoparticles,Analytical Chemistry,2012,0
Pt,peroxidase,cubic,2.5,nm,2.5,nm,2.5,nm,citrate,0.1206,mM,0.0000651,mM·s−1,text,TMB + H2O2,,,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,0
Pt,peroxidase,cubic,2.5,nm,2.5,nm,2.5,nm,citrate,205.6,mM,0.0000979,mM·s−1,text,H2O2 + TMB,,,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,0
Pt + Hg2+,peroxidase,cubic,2.5,nm,2.5,nm,2.5,nm,citrate,0.1337,mM,0.0000385,mM·s−1,text,TMB + H2O2,,,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,0
Pt + Hg2+,peroxidase,cubic,2.5,nm,2.5,nm,2.5,nm,citrate,221.9,mM,0.0000269,mM·s−1,text,H2O2 + TMB,,,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,0
Pt + Hg2+,peroxidase,cubic,2.5,nm,2.5,nm,2.5,nm,citrate,0.257,mM,0.0000372,mM·s−1,text,TMB + H2O2,,,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,0
Pt + Hg2+,peroxidase,cubic,2.5,nm,2.5,nm,2.5,nm,citrate,295,mM,0.0000223,mM·s−1,text,H2O2 + TMB,,,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,0
Pt-Ni,oxidase,cubic,6.2,nm,6.2,nm,6.2,nm,,0.021,mM,0.000306,μM/min,text,TMB,0,mM,0.6,mM,,,5,μg/mL,4.5,25,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,0
Pt,oxidase,cubic,,,,,,,,28.54,μM,14.06,10-8 M s-1,si,TMB,0,mM,0.6,mM,,,5,μg/mL,4.5,25,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,0
PtNi0.33,oxidase,cubic,,,,,,,,54.05,μM,19.56,10-8 M s-1,si,TMB,0,mM,0.6,mM,,,5,μg/mL,4.5,25,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,0
PtNi1,oxidase,cubic,,,,,,,,21.34,μM,30.59,10-8 M s-1,si,TMB,0,mM,0.6,mM,,,5,μg/mL,4.5,25,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,0
PtNi1,oxidase,cubic,,,,,,,,22.26,μM,7.88,10-8 M s-1,si,TMB,0,mM,0.6,mM,,,5,μg/mL,4.5,25,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,0
TiO2,oxidase,tetragonal,3-5,nm,3-5,nm,3-5,nm,catechol,107,μM,156.5,nM S−1 ,text,TMB,,,,,,,,,4,30,10.1021/acs.analchem.5b02728,ACS.ANALCHEM.5B02728,0,Versatile and Amplified Biosensing through Enzymatic Cascade Reaction by Coupling Alkaline Phosphatase <i>in Situ</i> Generation of Photoresponsive Nanozyme,Analytical Chemistry,2015,0
Au0.02/Fe2O3,peroxidase,,,,,,,,,0.0429,mM,5.882,10-8 M s-1,si,TMB + H2O2,0.01,mM,1,mM,700,mM,5,μg,3.5,25,10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880,1,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017,0
Au0.02/Fe2O3,peroxidase,,,,,,,,,138.5,mM,4.77,10-8 M s-1,si,H2O2 + TMB,10,mM,1100,mM,800,μM,5,μg,3.5,25,10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880,1,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017,0
Fe3O4,peroxidase,,500,nm,500,nm,500,nm,,0.26,mM,3.51,10-9 M s-1,si,TMB + H2O2,0,mM,0.8,mM,,,50,μg/mL,4,,10.1021/acs.analchem.9b04116,ACS.ANALCHEM.9B04116,0,Fe<sub>3</sub>O<sub>4</sub> Nanozymes with Aptamer-Tuned Catalysis for Selective Colorimetric Analysis of ATP in Blood,Analytical Chemistry,2019,1
Fe3O4,peroxidase,,500,nm,500,nm,500,nm,,6.66,mM,1.29,10-9 M s-1,si,H2O2 + TMB,0,mM,200,mM,,,50,μg/mL,4,,10.1021/acs.analchem.9b04116,ACS.ANALCHEM.9B04116,0,Fe<sub>3</sub>O<sub>4</sub> Nanozymes with Aptamer-Tuned Catalysis for Selective Colorimetric Analysis of ATP in Blood,Analytical Chemistry,2019,1
Fe3O4,peroxidase,,500,nm,500,nm,500,nm,Adenosine triphosphate,0.088,mM,4.06,10-9 M s-1,si,TMB + H2O2,0,mM,0.8,mM,,,50,μg/mL,4,,10.1021/acs.analchem.9b04116,ACS.ANALCHEM.9B04116,0,Fe<sub>3</sub>O<sub>4</sub> Nanozymes with Aptamer-Tuned Catalysis for Selective Colorimetric Analysis of ATP in Blood,Analytical Chemistry,2019,1
Fe3O4,peroxidase,,500,nm,500,nm,500,nm,Adenosine triphosphate,30.24,mM,3.42,10-9 M s-1,si,H2O2 + TMB,0,mM,200,mM,,,50,μg/mL,4,,10.1021/acs.analchem.9b04116,ACS.ANALCHEM.9B04116,0,Fe<sub>3</sub>O<sub>4</sub> Nanozymes with Aptamer-Tuned Catalysis for Selective Colorimetric Analysis of ATP in Blood,Analytical Chemistry,2019,1
Pd@Fe2O3,peroxidase,,,,,,,,catechol-PEG,0.049,mM,0.000000102,Ms-1,text,ABTS + H2O2,0.01,mM,0.5,mM,0.2,mM,1.8,μg/mL,3.62,37,10.1021/acs.chemmater.6b04283,ACS.CHEMMATER.6B04283,0,Pd@Fe<sub>2</sub>O<sub>3</sub> Superparticles with Enhanced Peroxidase Activity by Solution Phase Epitaxial Growth,Chemistry of Materials,2017,0
Pd@Fe2O3,peroxidase,,,,,,,,catechol-PEG,0.254,mM,0.000000128,Ms-1,text,H2O2 + ABTS,0.01,mM,0.5,mM,0.15,mM,1.8,μg/mL,3.62,37,10.1021/acs.chemmater.6b04283,ACS.CHEMMATER.6B04283,0,Pd@Fe<sub>2</sub>O<sub>3</sub> Superparticles with Enhanced Peroxidase Activity by Solution Phase Epitaxial Growth,Chemistry of Materials,2017,0
Pd@Fe2O3,peroxidase,,,,,,,,catechol-PEG,0.1,mM,0.00000017,Ms-1,figure s15,TMB + H2O2,0,mM,0.25,mM,25,mM,3,μg/mL,3.62,37,10.1021/acs.chemmater.6b04283,ACS.CHEMMATER.6B04283,0,Pd@Fe<sub>2</sub>O<sub>3</sub> Superparticles with Enhanced Peroxidase Activity by Solution Phase Epitaxial Growth,Chemistry of Materials,2017,1
V6O13,peroxidase,monoclinic,,,,,,,,0.153,mM,2.99,10-8 M s-1,si,TMB + H2O2,0.08,mM,0.2,mM,0.6,mM,0.5,mg mL−1,4.5,30,10.1021/acs.iecr.7b04821,ACS.IECR.7B04821,0,Intrinsic Triple-Enzyme Mimetic Activity of V<sub>6</sub>O<sub>13</sub> Nanotextiles: Mechanism Investigation and Colorimetric and Fluorescent Detections,Industrial &amp; Engineering Chemistry Research,2018,1
V6O13,peroxidase,monoclinic,,,,,,,,1.51,mM,3.12,10-8 M s-1,si,H2O2 + TMB,0,mM,3.5,mM,0.3,mM,0.5,mg mL−1,4.5,30,10.1021/acs.iecr.7b04821,ACS.IECR.7B04821,0,Intrinsic Triple-Enzyme Mimetic Activity of V<sub>6</sub>O<sub>13</sub> Nanotextiles: Mechanism Investigation and Colorimetric and Fluorescent Detections,Industrial &amp; Engineering Chemistry Research,2018,1
Fe0.15-CoO,peroxidase,,,,,,,,,0.17,mM,0.000000509,M s−1,text,TMB + H2O2,0.01,mM,0.1,mM,20,mM,0.3,,5,37,10.1021/acs.inorgchem.0c03355,ACS.INORGCHEM.0C03355,0,Magnetic Flower-like Fe-Doped CoO Nanocomposites with Dual Enzyme-like Activities for Facile and Sensitive Determination of H<sub>2</sub>O<sub>2</sub> and Dopamine,Inorganic Chemistry,2021,0
Fe0.15-CoO,peroxidase,,,,,,,,,11.2,mM,0.000000241,M s−1,text,H2O2 + TMB,2,mM,20,mM,0.1,mM,0.3,,5,37,10.1021/acs.inorgchem.0c03355,ACS.INORGCHEM.0C03355,0,Magnetic Flower-like Fe-Doped CoO Nanocomposites with Dual Enzyme-like Activities for Facile and Sensitive Determination of H<sub>2</sub>O<sub>2</sub> and Dopamine,Inorganic Chemistry,2021,0
Co3O4,peroxidase,cubic,,,,,,,,0.12,mM,1.14,10-8 s-1,text,TMB + H2O2,0.04,mM,0.12,mM,,,,,5,25,10.1021/acs.inorgchem.9b03512,ACS.INORGCHEM.9B03512,0,Oxygen-Vacancy-Enhanced Peroxidase-like Activity of Reduced Co<sub>3</sub>O<sub>4</sub> Nanocomposites for the Colorimetric Detection of H<sub>2</sub>O<sub>2</sub> and Glucose,Inorganic Chemistry,2020,1
Co3O4,peroxidase,cubic,,,,,,,,3.43,mM,1.03,10-8 s-1,text,H2O2 + TMB,2,mM,12,mM,,,,,5,25,10.1021/acs.inorgchem.9b03512,ACS.INORGCHEM.9B03512,0,Oxygen-Vacancy-Enhanced Peroxidase-like Activity of Reduced Co<sub>3</sub>O<sub>4</sub> Nanocomposites for the Colorimetric Detection of H<sub>2</sub>O<sub>2</sub> and Glucose,Inorganic Chemistry,2020,1
Co3O4,peroxidase,cubic,,,,,,,,0.07,mM,15.8,10-8 s-1,text,TMB + H2O2,0.04,mM,0.12,mM,,,,,5,25,10.1021/acs.inorgchem.9b03512,ACS.INORGCHEM.9B03512,0,Oxygen-Vacancy-Enhanced Peroxidase-like Activity of Reduced Co<sub>3</sub>O<sub>4</sub> Nanocomposites for the Colorimetric Detection of H<sub>2</sub>O<sub>2</sub> and Glucose,Inorganic Chemistry,2020,1
Co3O4,peroxidase,cubic,,,,,,,,0.74,mM,10.13,10-8 s-1,text,H2O2 + TMB,2,mM,12,mM,,,,,5,25,10.1021/acs.inorgchem.9b03512,ACS.INORGCHEM.9B03512,0,Oxygen-Vacancy-Enhanced Peroxidase-like Activity of Reduced Co<sub>3</sub>O<sub>4</sub> Nanocomposites for the Colorimetric Detection of H<sub>2</sub>O<sub>2</sub> and Glucose,Inorganic Chemistry,2020,1
Fe0.8Ni0.2S2,peroxidase,,,,,,,,,0.221,mM,2.19,10−7 M s−1,text,TMB + H2O2,0,mM,5,mM,,,50,μg/mL,4,25,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,1
Fe0.8Ni0.2S2,peroxidase,,,,,,,,,0.0192,mM,2.41,10−7 M s−1,text,H2O2 + TMB,0,mM,1.2,mM,,,50,μg/mL,4,25,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,1
Fe0.6Ni0.4S2,peroxidase,,,,,,,,,0.797,mM,1.72,10−7 M s−1,text,TMB + H2O2,0,mM,5,mM,,,50,μg/mL,4,25,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,1
Fe0.6Ni0.4S2,peroxidase,,,,,,,,,0.123,mM,1.72,10−7 M s−1,text,H2O2 + TMB,0,mM,1.2,mM,,,50,μg/mL,4,25,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,1
Fe0.4Ni0.6S2,peroxidase,,,,,,,,,0.916,mM,1.02,10−7 M s−1,text,TMB + H2O2,0,mM,5,mM,,,50,μg/mL,4,25,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,1
Fe0.4Ni0.6S2,peroxidase,,,,,,,,,0.252,mM,1.45,10−7 M s−1,text,H2O2 + TMB,0,mM,1.2,mM,,,50,μg/mL,4,25,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,1
FeS2,peroxidase,,,,,,,,,1.08,mM,4.78,10−7 M s−1,text,TMB + H2O2,0,mM,5,mM,,,50,μg/mL,4,25,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,1
FeS2,peroxidase,,,,,,,,,0.0907,mM,1.27,10−7 M s−1,text,H2O2 + TMB,0,mM,1.2,mM,,,50,μg/mL,4,25,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,1
Pt,peroxidase,cubic,3.8,nm,3.8,nm,3.8,nm,β-casein,0.052,mM,16.4,10−8 M s−1,si,TMB + H2O2,0,mM,0.35,mM,,,,,4,20,10.1021/acs.langmuir.7b03430,ACS.LANGMUIR.7B03430,0,"Switching Peroxidase-Mimic Activity of Protein Stabilized Platinum Nanozymes by Sulfide Ions: Substrate Dependence, Mechanism, and Detection",Langmuir,2017,1
Pt,peroxidase,cubic,3.8,nm,3.8,nm,3.8,nm,β-casein,63.86,mM,29,10−8 M s−1,si,H2O2 + TMB,0,mM,160,mM,,,,,4,20,10.1021/acs.langmuir.7b03430,ACS.LANGMUIR.7B03430,0,"Switching Peroxidase-Mimic Activity of Protein Stabilized Platinum Nanozymes by Sulfide Ions: Substrate Dependence, Mechanism, and Detection",Langmuir,2017,1
FeS2@C,peroxidase,,,,,,,,,0.16,mM,6.23,10−8 M s−1,si,TMB + H2O2,0,mM,0.45,mM,0.2,mM,0.3,mg L-1,4,45,10.1021/acsabm.0c00605,ACSABM.0C00605,0,A Hybrid of FeS<sub>2</sub> Nanoparticles Encapsulated by Two-Dimensional Carbon Sheets as Excellent Nanozymes for Colorimetric Glucose Detection,ACS Applied Bio Materials,2020,1
FeS2@C,peroxidase,,,,,,,,,0.46,mM,11.93,10−8 M s−1,si,H2O2 + TMB,0,mM,0.8,mM,0.2,mM,0.3,mg L-1,4,45,10.1021/acsabm.0c00606,ACSABM.0C00606,0,Electrokinetic Translocation of a Deformable Nanoparticle through a Nanopore,ACS Applied Bio Materials,2020,1
Co2V2O7,peroxidase,,250,nm,250,nm,250,nm,,0.311,mM,2.58,10−8 M s−1,si,TMB + H2O2,0,mM,0.4,mM,0.3,mM,30,μg mL-1,3,35,10.1021/acsabm.9b01107,ACSABM.9B01107,0,Co<sub>2</sub>V<sub>2</sub>O<sub>7</sub>Particles with Intrinsic Multienzyme Mimetic Activities as an Effective Bioplatform for Ultrasensitive Fluorometric and Colorimetric Biosensing,ACS Applied Bio Materials,2020,1
Co2V2O7,peroxidase,,250,nm,250,nm,250,nm,,0.669,mM,1.25,10−8 M s−1,si,H2O2 + TMB,0,mM,7,mM,1.6,mM,30,μg mL-1,3,35,10.1021/acsabm.9b01107,ACSABM.9B01107,0,Co<sub>2</sub>V<sub>2</sub>O<sub>7</sub>Particles with Intrinsic Multienzyme Mimetic Activities as an Effective Bioplatform for Ultrasensitive Fluorometric and Colorimetric Biosensing,ACS Applied Bio Materials,2020,1
MoS2,peroxidase,hexagonal,,,,,,,,0.8246,mM,1.161,10−8 M s−1,text,TMB + H2O2,0.1,mM,1.6,mM,10,mM,0.08,mg mL-1,4,45,10.1021/acsami.0c01789,ACSAMI.0C01789,0,Plasma-Assisted Controllable Doping of Nitrogen into MoS<sub>2</sub> Nanosheets as Efficient Nanozymes with Enhanced Peroxidase-Like Catalysis Activity,ACS Applied Materials &amp; Interfaces,2020,0
MoS2,peroxidase,hexagonal,,,,,,,,2.0828,mM,1.346,10−8 M s−1,text,H2O2 + TMB,0.8,mM,12.8,mM,800,μM,0.08,mg mL-1,4,45,10.1021/acsami.0c01789,ACSAMI.0C01789,0,Plasma-Assisted Controllable Doping of Nitrogen into MoS<sub>2</sub> Nanosheets as Efficient Nanozymes with Enhanced Peroxidase-Like Catalysis Activity,ACS Applied Materials &amp; Interfaces,2020,0
N-doped MoS2,peroxidase,hexagonal,,,,,,,,0.7916,mM,1.796,10−8 M s−1,text,TMB + H2O2,0.1,mM,1.6,mM,10,mM,0.08,mg mL-1,4,45,10.1021/acsami.0c01789,ACSAMI.0C01789,0,Plasma-Assisted Controllable Doping of Nitrogen into MoS<sub>2</sub> Nanosheets as Efficient Nanozymes with Enhanced Peroxidase-Like Catalysis Activity,ACS Applied Materials &amp; Interfaces,2020,0
N-doped MoS2,peroxidase,hexagonal,,,,,,,,0.4459,mM,4.348,10−8 M s−1,text,H2O2 + TMB,0.8,mM,12.8,mM,800,μM,0.08,mg mL-1,4,45,10.1021/acsami.0c01789,ACSAMI.0C01789,0,Plasma-Assisted Controllable Doping of Nitrogen into MoS<sub>2</sub> Nanosheets as Efficient Nanozymes with Enhanced Peroxidase-Like Catalysis Activity,ACS Applied Materials &amp; Interfaces,2020,0
RuO2,peroxidase,,2,nm,2,nm,2,nm,,0.099,mM,0.0000129,M/min,text,TMB + H2O2,0.1,mM,1,mM,1,mM,20,μg/mL,,25,10.1021/acsami.0c07886,ACSAMI.0C07886,0,An Ultrasmall RuO<sub>2</sub> Nanozyme Exhibiting Multienzyme-like Activity for the Prevention of Acute Kidney Injury,ACS Applied Materials &amp; Interfaces,2020,1
RuO2,peroxidase,,2,nm,2,nm,2,nm,,0.146,mM,0.0000124,M/min,text,H2O2 + TMB,0.1,mM,1,mM,0.3,mM,20,μg/mL,,25,10.1021/acsami.0c07886,ACSAMI.0C07886,0,An Ultrasmall RuO<sub>2</sub> Nanozyme Exhibiting Multienzyme-like Activity for the Prevention of Acute Kidney Injury,ACS Applied Materials &amp; Interfaces,2020,1
RuO2,catalase,,2,nm,2,nm,2,nm,,3.59,mM,2.29,mM/min,text,H2O2,0.2,mM,2,mM,,,20,μg/mL,,25,10.1021/acsami.0c07886,ACSAMI.0C07886,0,An Ultrasmall RuO<sub>2</sub> Nanozyme Exhibiting Multienzyme-like Activity for the Prevention of Acute Kidney Injury,ACS Applied Materials &amp; Interfaces,2020,1
